region,date_iso,edition_label,status,filename,source_url,source_text,notes
DFW,1997-01-16,57th,Missing,,,,
DFW,1997-07-16,58th,Missing,,,,
DFW,1998-01-16,59th,Missing,,,,
DFW,1998-07-16,60th,Missing,,,,
DFW,1999-01-16,61st,Missing,,,,
DFW,1999-07-16,62nd,Missing,,,,
DFW,2000-01-16,63rd,Missing,,,,
DFW,2000-07-16,64th,Missing,,,,
DFW,2001-01-16,65th,Missing,,,,
DFW,2001-07-16,66th,Missing,,,,
DFW,2002-01-16,67th,Missing,,,,
DFW,2002-07-16,68th,Missing,,,,
DFW,2003-01-16,69th,Missing,,,,
DFW,2003-07-16,70th,Missing,,,,
DFW,2004-01-16,71st,Missing,,,,
DFW,2004-07-16,72nd,Missing,,,,
DFW,2005-01-16,73rd,Missing,,,,
DFW,2005-07-16,74th,Missing,,,,
DFW,2006-01-16,75th,Missing,,,,
DFW,2006-07-16,76th,Missing,,,,
DFW,2007-01-16,77th,Missing,,,,
DFW,2007-07-16,78th,Missing,,,,
DFW,2008-01-16,79th,Missing,,,,
DFW,2008-07-16,80th,Missing,,,,
DFW,2009-01-16,81st,Missing,,,,
DFW,2009-07-16,82nd,Missing,,,,
DFW,2010-01-16,83rd,Missing,,,,
DFW,2010-07-16,84th,Missing,,,,
DFW,2011-01-16,85th,Missing,,,,
DFW,2011-07-16,86th,Missing,,,,
DFW,2011-09-22,87th,Acquired,"201109N_geo_COG.tif,201109S_geo_COG.tif",FAA archive.org,,
DFW,2012-03-03,88th,Missing,,,,
DFW,2012-09-20,89th,Acquired,"201209N_geo_COG.tif,201209S_geo_COG.tif",FAA archive.org,,
DFW,2013-03-03,90th,Missing,,,,
DFW,2013-09-19,91st,Acquired,"201309N_geo_COG.tif,201309S_geo_COG.tif",FAA archive.org,,
DFW,2014-03-06,92nd,Acquired,201403_geo_COG.tif,FAA archive.org,,
DFW,2014-09-15,93rd,Missing,,,,
DFW,2015-03-05,94th,Acquired,201503_geo_COG.tif,FAA archive.org,,
DFW,2015-09-15,95th,Missing,,,,
DFW,2016-03-03,96th,Acquired,201603_geo_COG.tif,,,FAA starts providing charts digitally for free
DFW,2016-09-15,97th,Acquired,201609_geo_COG.tif,https://web.archive.org/web/20170721142430/https://aeronav.faa.gov/content/aeronav/sectional_files/PDFs/Dallas-Ft_Worth_97_P.pdf,,
DFW,2017,98th,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2017,99th,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2018,100th,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2018,101st,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2019,102,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2019,103,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2020,104,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2020,105,Missing,,https://web.archive.org/web/20170628030322/http://aeronav.faa.gov/content/aeronav/sectional_files/Albuquerque_99.zip,,
DFW,2021,x,Missing,,,,No more editions; published every 56 days
DFW,2021,x,Missing,,,,
DFW,2022,x,Missing,,,,
DFW,2023,x,Missing,,,,
DFW,2024-09-05,x,Acquired,202409_geo_COG.tif,https://web.archive.org/web/20240929180827/https://aeronav.faa.gov/visual/09-05-2024/sectional-files/Dallas-Ft_Worth.zip,,
DFW,2024-10-31,x,Acquired,202410_geo_COG.tif,https://web.archive.org/web/20250208125828/https://aeronav.faa.gov/visual/10-31-2024/sectional-files/Dallas-Ft_Worth.zip,,
DFW,2024-12-26,x,Acquired,202412_geo_COG.tif,,Need to locate again,
DFW,2025-02-20,x,Acquired,202502_geo_COG.tif,https://web.archive.org/web/20250208121204/https://aeronav.faa.gov/visual/02-20-2025/sectional-files/Dallas-Ft_Worth.zip,,
DFW,,,,,,,
DFW,,,,,,,
DFW,,,,,,,
DFW,,,,,,,
